,blk,date,pow_hashrate_THs,pow_diff
164,23760.0,2016-04-28 00:00:00+00:00,0.0,478561.20652831
165,23904.0,2016-04-29 00:00:00+00:00,0.0,536442.5764977
166,24048.0,2016-04-29 00:00:00+00:00,27.0,558311.07977716
167,24192.0,2016-04-30 00:00:00+00:00,0.0,581918.8064972
168,24336.0,2016-04-30 00:00:00+00:00,0.0,567229.72914718
169,24480.0,2016-05-01 00:00:00+00:00,27.0,577750.40989731
170,24624.0,2016-05-01 00:00:00+00:00,0.0,606382.65575338
171,24768.0,2016-05-02 00:00:00+00:00,0.0,612306.13030737
172,24912.0,2016-05-03 00:00:00+00:00,31.0,609077.00750395
173,25056.0,2016-05-03 00:00:00+00:00,0.0,573486.01879916
174,25200.0,2016-05-03 00:00:00+00:00,0.0,585397.23904179
175,25344.0,2016-05-04 00:00:00+00:00,0.0,603833.71706839
176,25488.0,2016-05-05 00:00:00+00:00,0.0,585246.73658078
177,25632.0,2016-05-05 00:00:00+00:00,26.0,602570.89931182
178,25776.0,2016-05-06 00:00:00+00:00,0.0,553169.88737318
179,25920.0,2016-05-06 00:00:00+00:00,0.0,524510.09743196
180,26064.0,2016-05-06 00:00:00+00:00,25.0,558605.22838653
181,26208.0,2016-05-07 00:00:00+00:00,0.0,621365.72845936
182,26352.0,2016-05-07 00:00:00+00:00,0.0,613157.74682573
183,26496.0,2016-05-08 00:00:00+00:00,34.0,649645.72165963
184,26640.0,2016-05-08 00:00:00+00:00,0.0,577197.79816514
185,26784.0,2016-05-09 00:00:00+00:00,0.0,594196.27784413
186,26928.0,2016-05-10 00:00:00+00:00,0.0,562176.0125658
187,27072.0,2016-05-10 00:00:00+00:00,0.0,520697.45397406
188,27216.0,2016-05-11 00:00:00+00:00,0.0,476185.77116471
189,27360.0,2016-05-11 00:00:00+00:00,35.0,476665.12787431
190,27504.0,2016-05-11 00:00:00+00:00,0.0,518606.40705251
191,27648.0,2016-05-12 00:00:00+00:00,0.0,618793.31112533
192,27792.0,2016-05-13 00:00:00+00:00,27.0,567196.66343388
193,27936.0,2016-05-13 00:00:00+00:00,0.0,566955.07887906
194,28080.0,2016-05-13 00:00:00+00:00,28.0,576012.74231023
195,28224.0,2016-05-14 00:00:00+00:00,0.0,622104.03447813
196,28368.0,2016-05-14 00:00:00+00:00,0.0,669076.15367342
197,28512.0,2016-05-15 00:00:00+00:00,32.0,695477.4151017
