date,blk,pow_hashrate_THs
14-10-11 0:00,149320,11.16897674
17-10-11 0:00,149691,8.247236133
20-10-11 0:00,150059,7.517392227
23-10-11 0:00,150386,7.663361008
26-10-11 0:00,150759,7.955298571
29-10-11 0:00,151077,8.685142476
01-11-11 0:00,151469,8.73436486
04-11-11 0:00,151895,8.554891609
07-11-11 0:00,152317,7.836998607
10-11-11 0:00,152768,8.674540443
13-11-11 0:00,153174,8.794189277
16-11-11 0:00,153617,7.884158164
19-11-11 0:00,154012,7.647040625
22-11-11 0:00,154413,8.002716933
25-11-11 0:00,154795,7.70632001
28-11-11 0:00,155156,7.350643702
01-12-11 0:00,155638,10.03065755
04-12-11 0:00,156072,7.428108565
07-12-11 0:00,156539,7.97030627
10-12-11 0:00,156994,8.512503976
13-12-11 0:00,157405,7.406827445
16-12-11 0:00,157788,7.11974111
19-12-11 0:00,158241,8.670007319
22-12-11 0:00,158672,7.923582848
25-12-11 0:00,159133,9.99060446
28-12-11 0:00,159610,8.649061209
31-12-11 0:00,160041,9.283325697
03-01-12 0:00,160504,9.340986105
06-01-12 0:00,160971,9.80226937
09-01-12 0:00,161482,10.01025622
12-01-12 0:00,161931,10.32113374
15-01-12 0:00,162360,9.20197466
18-01-12 0:00,162820,8.828921633
21-01-12 0:00,163279,11.1294153
24-01-12 0:00,163724,8.77601647
27-01-12 0:00,164151,9.036046588
30-01-12 0:00,164635,10.79124988
02-02-12 0:00,165085,10.59622729
05-02-12 0:00,165542,9.327239883
08-02-12 0:00,165970,9.052909298
11-02-12 0:00,166403,9.464405175
14-02-12 0:00,166836,9.327239883
17-02-12 0:00,167260,9.73873576
20-02-12 0:00,167729,9.988788097
23-02-12 0:00,168183,11.49394795
26-02-12 0:00,168647,10.39928624
29-02-12 0:00,169140,12.72544237
03-03-12 0:00,169538,8.855409941
06-03-12 0:00,169957,11.01345102
09-03-12 0:00,170435,12.35292479
12-03-12 0:00,170900,12.57617042
15-03-12 0:00,171318,9.599562037
18-03-12 0:00,171801,11.61897621
21-03-12 0:00,172262,12.06585992
24-03-12 0:00,172730,12.81066608
27-03-12 0:00,173194,11.02313128
30-03-12 0:00,173639,12.12846182
02-04-12 0:00,174067,10.26876434
05-04-12 0:00,174454,9.621913043
08-04-12 0:00,174869,11.80503617
11-04-12 0:00,175303,11.56246693
14-04-12 0:00,175692,10.43232114
17-04-12 0:00,176084,11.13826769
20-04-12 0:00,176525,12.15796825
23-04-12 0:00,176954,11.60889871
26-04-12 0:00,177374,12.07952974
29-04-12 0:00,177840,12.44873829
02-05-12 0:00,178339,11.5488295
05-05-12 0:00,178824,11.6988143
08-05-12 0:00,179334,13.94858628
11-05-12 0:00,179772,10.59746018
14-05-12 0:00,180179,12.32062444
17-05-12 0:00,180546,10.16666911
20-05-12 0:00,180978,12.23446622
23-05-12 0:00,181349,10.42514375
26-05-12 0:00,181737,10.67752332
29-05-12 0:00,182164,10.75661609
01-06-12 0:00,182585,11.94300757
04-06-12 0:00,183053,11.94300757
07-06-12 0:00,183492,9.965688435
10-06-12 0:00,183970,13.3790336
13-06-12 0:00,184416,12.74943202
16-06-12 0:00,184887,12.59203163
19-06-12 0:00,185373,14.32343598
22-06-12 0:00,185792,12.10176058
25-06-12 0:00,186241,13.13169765
28-06-12 0:00,186690,11.58679204
01-07-12 0:00,187110,11.84427631
04-07-12 0:00,187572,13.84337907
07-07-12 0:00,188037,14.80109712
10-07-12 0:00,188503,13.14685686
13-07-12 0:00,188950,14.01750963
16-07-12 0:00,189401,12.88566102
19-07-12 0:00,189863,13.26737055
22-07-12 0:00,190307,12.89625529
25-07-12 0:00,190769,14.28793751
28-07-12 0:00,191269,15.77239855
31-07-12 0:00,191741,13.46538137
03-08-12 0:00,192202,17.51512013
06-08-12 0:00,192637,14.27532912
09-08-12 0:00,193137,16.09771157
12-08-12 0:00,193620,18.40554294
15-08-12 0:00,194104,18.62336001
18-08-12 0:00,194547,16.11846364
21-08-12 0:00,195076,19.7124454
24-08-12 0:00,195545,16.98973194
27-08-12 0:00,196007,18.07742531
30-08-12 0:00,196480,19.16935033
02-09-12 0:00,196945,18.56272532
05-09-12 0:00,197435,21.83850037
08-09-12 0:00,197919,18.74905902
11-09-12 0:00,198373,21.15965232
14-09-12 0:00,198820,21.69533972
17-09-12 0:00,199293,23.57024562
20-09-12 0:00,199753,20.92944794
23-09-12 0:00,200237,21.21420234
26-09-12 0:00,200669,20.35993916
29-09-12 0:00,201156,23.91936908
02-10-12 0:00,201592,19.36329878
05-10-12 0:00,201992,20.65110469
08-10-12 0:00,202450,25.20649543
11-10-12 0:00,202879,20.9547974
14-10-12 0:00,203303,20.9547974
17-10-12 0:00,203769,21.53435778
20-10-12 0:00,204219,21.07617995
23-10-12 0:00,204667,20.92345401
26-10-12 0:00,205137,24.58887661
29-10-12 0:00,205636,24.13069879
01-11-12 0:00,206060,22.17516038
04-11-12 0:00,206506,26.28167156
07-11-12 0:00,206958,25.78889022
10-11-12 0:00,207408,26.28167156
13-11-12 0:00,207827,22.77487591
16-11-12 0:00,208251,23.61218753
19-11-12 0:00,208683,20.59786571
22-11-12 0:00,209126,24.61696146
25-11-12 0:00,209586,23.61218753
28-11-12 0:00,210063,28.89039649
01-12-12 0:00,210521,27.35185466
04-12-12 0:00,210923,18.97534917
07-12-12 0:00,211311,21.19768736
10-12-12 0:00,211718,24.27477101
13-12-12 0:00,212123,22.78443985
16-12-12 0:00,212456,19.26625428
19-12-12 0:00,212857,23.95716837
22-12-12 0:00,213242,24.12470102
25-12-12 0:00,213620,20.60651545
28-12-12 0:00,214099,26.06886297
31-12-12 0:00,214567,24.88391466
03-01-13 0:00,215044,23.69896634
06-01-13 0:00,215483,21.03283263
09-01-13 0:00,215914,21.64582213
12-01-13 0:00,216300,19.22278234
15-01-13 0:00,216711,20.51507022
18-01-13 0:00,217074,20.19199825
21-01-13 0:00,217490,23.58425396
24-01-13 0:00,217916,23.90732593
27-01-13 0:00,218360,22.43195058
30-01-13 0:00,218818,21.39890022
02-02-13 0:00,219311,23.76015818
05-02-13 0:00,219828,28.00576717
08-02-13 0:00,220279,24.74928262
11-02-13 0:00,220742,25.88905221
14-02-13 0:00,221203,26.70317335
17-02-13 0:00,221759,30.28530636
20-02-13 0:00,222272,31.39824966
23-02-13 0:00,222782,29.40182916
26-02-13 0:00,223308,28.13137975
01-03-13 0:00,223821,34.30627041
04-03-13 0:00,224306,37.9974514
07-03-13 0:00,224760,33.00350064
10-03-13 0:00,225272,40.16873434
13-03-13 0:00,225728,33.43775723
16-03-13 0:00,226254,42.41210107
19-03-13 0:00,226823,47.47263586
22-03-13 0:00,227481,54.22001557
25-03-13 0:00,228031,45.26778087
28-03-13 0:00,228496,59.58038805
31-03-13 0:00,229012,52.25765879
03-04-13 0:00,229566,59.24753672
06-04-13 0:00,230041,64.07971834
09-04-13 0:00,230536,64.07971834
12-04-13 0:00,231060,65.98685282
15-04-13 0:00,231544,61.02830318
18-04-13 0:00,232039,72.71669197
21-04-13 0:00,232506,77.62395339
24-04-13 0:00,232989,78.07006806
27-04-13 0:00,233479,70.93223327
30-04-13 0:00,233979,74.63339018
03-05-13 0:00,234401,73.63159971
06-05-13 0:00,234891,81.64592348
09-05-13 0:00,235388,83.14860919
12-05-13 0:00,235910,89.15935203
15-05-13 0:00,236379,81.74987297
18-05-13 0:00,236837,81.74987297
21-05-13 0:00,237273,82.86211614
24-05-13 0:00,237772,90.09169674
27-05-13 0:00,238276,103.9136922
30-05-13 0:00,238781,102.101244
02-06-13 0:00,239368,123.2464721
05-06-13 0:00,239978,156.7035621
08-06-13 0:00,240501,130.327715
11-06-13 0:00,241014,136.5337967
14-06-13 0:00,241583,133.4307558
17-06-13 0:00,242086,148.0494004
20-06-13 0:00,242516,140.3585225
23-06-13 0:00,243025,169.1993148
26-06-13 0:00,243506,181.6969915
29-06-13 0:00,244011,170.754179
02-07-13 0:00,244474,166.5118392
05-07-13 0:00,245009,187.7235384
08-07-13 0:00,245574,197.2688031
11-07-13 0:00,246128,249.7082121
14-07-13 0:00,246611,211.9918675
17-07-13 0:00,247123,219.7952492
20-07-13 0:00,247641,243.205394
23-07-13 0:00,248146,225.2998321
26-07-13 0:00,248615,276.5749663
29-07-13 0:00,249142,257.929463
01-08-13 0:00,249706,287.4515099
04-08-13 0:00,250247,317.8555672
07-08-13 0:00,250812,327.1495897
10-08-13 0:00,251422,369.9020929
13-08-13 0:00,252037,484.9527656
16-08-13 0:00,252543,434.4368525
19-08-13 0:00,253104,449.5916264
22-08-13 0:00,253706,525.365496
25-08-13 0:00,254236,467.3888102
28-08-13 0:00,254749,545.8316874
31-08-13 0:00,255366,702.7174419
03-09-13 0:00,255996,604.6638454
06-09-13 0:00,256523,821.0781131
09-09-13 0:00,257028,834.0425044
12-09-13 0:00,257632,898.8644606
15-09-13 0:00,258235,1024.579581
18-09-13 0:00,258733,845.4181239
21-09-13 0:00,259312,1046.974763
24-09-13 0:00,259937,1125.3579
27-09-13 0:00,260483,1302.020289
30-09-13 0:00,260993,1213.246178
03-10-13 0:00,261570,1538.75125
06-10-13 0:00,262154,1900.662831
09-10-13 0:00,262650,1721.887615
12-10-13 0:00,263241,1853.616722
15-10-13 0:00,263972,2333.487041
18-10-13 0:00,264541,2302.45572
21-10-13 0:00,265174,2675.107513
24-10-13 0:00,265855,2781.579453
27-10-13 0:00,266451,3439.672053
30-10-13 0:00,266981,3808.902386
02-11-13 0:00,267602,4216.99907
05-11-13 0:00,268163,3303.639825
08-11-13 0:00,268604,3377.99452
11-11-13 0:00,269110,4952.698733
14-11-13 0:00,269662,4292.338902
17-11-13 0:00,270208,5847.426832
20-11-13 0:00,270689,4938.500381
23-11-13 0:00,271181,4908.202833
26-11-13 0:00,271681,4968.79793
29-11-13 0:00,272208,6505.60945
02-12-13 0:00,272738,5731.969408
05-12-13 0:00,273279,6013.29306
08-12-13 0:00,273877,6294.616711
11-12-13 0:00,274410,7134.389874
14-12-13 0:00,274945,9030.873258
17-12-13 0:00,275526,8895.410159
20-12-13 0:00,276129,9121.181991
23-12-13 0:00,276630,9333.937661
26-12-13 0:00,277141,10508.01787
29-12-13 0:00,277643,8805.601567
01-01-14 0:00,278205,11740.80209
04-01-14 0:00,278641,10435.93771
07-01-14 0:00,279197,13185.94832
10-01-14 0:00,279784,14243.64471
13-01-14 0:00,280370,18058.64887
16-01-14 0:00,280901,17791.77229
19-01-14 0:00,281396,16368.43051
22-01-14 0:00,281949,16902.18368
25-01-14 0:00,282480,16903.79922
28-01-14 0:00,282960,18103.42368
31-01-14 0:00,283472,20066.44552
03-02-14 0:00,284028,21157.01322
06-02-14 0:00,284550,21761.8906
09-02-14 0:00,285025,19676.91905
12-02-14 0:00,285523,21761.8906
15-02-14 0:00,286079,23455.92999
18-02-14 0:00,286592,25980.5117
21-02-14 0:00,287121,26136.08362
24-02-14 0:00,287660,28314.09059
27-02-14 0:00,288193,28314.09059
02-03-14 0:00,288658,28262.41817
05-03-14 0:00,289111,30538.58608
08-03-14 0:00,289618,33194.1153
11-03-14 0:00,290114,31866.35069
14-03-14 0:00,290591,29367.84755
17-03-14 0:00,291088,37607.74722
20-03-14 0:00,291571,35283.67296
23-03-14 0:00,292141,43312.29315
26-03-14 0:00,292645,39324.9976
29-03-14 0:00,293167,42560.59867
01-04-14 0:00,293658,44551.73779
04-04-14 0:00,294254,50027.37037
07-04-14 0:00,294727,44415.13216
10-04-14 0:00,295177,53237.31594
13-04-14 0:00,295694,60538.43356
16-04-14 0:00,296228,45327.77186
19-04-14 0:00,296716,56547.98442
22-04-14 0:00,297219,53425.70307
25-04-14 0:00,297717,56894.90457
28-04-14 0:00,298209,57588.74487
01-05-14 0:00,298693,66817.88587
04-05-14 0:00,299147,60454.27769
07-05-14 0:00,299625,64829.25832
10-05-14 0:00,300141,70397.41547
13-05-14 0:00,300619,74817.97102
16-05-14 0:00,301121,80099.23956
19-05-14 0:00,301634,77898.711
22-05-14 0:00,302158,73497.65388
25-05-14 0:00,302638,78483.25676
28-05-14 0:00,303101,91996.9301
31-05-14 0:00,303556,79003.01342
03-06-14 0:00,304102,97714.25344
06-06-14 0:00,304574,86494.36212
09-06-14 0:00,305021,79481.30574
12-06-14 0:00,305506,90585.31168
15-06-14 0:00,306037,108702.374
18-06-14 0:00,306567,113768.8429
21-06-14 0:00,307106,126484.1841
24-06-14 0:00,307650,132507.2405
27-06-14 0:00,308205,125145.7271
30-06-14 0:00,308676,104506.2812
03-07-14 0:00,309085,111194.6832
06-07-14 0:00,309545,124571.4872
09-07-14 0:00,310011,132931.9897
12-07-14 0:00,310473,137948.2912
15-07-14 0:00,310927,118927.4328
18-07-14 0:00,311415,137025.0856
21-07-14 0:00,311902,128407.1557
24-07-14 0:00,312333,128407.1557
27-07-14 0:00,312783,149954.3634
30-07-14 0:00,313254,162993.8733
02-08-14 0:00,313728,157405.5119
05-08-14 0:00,314145,122943.9502
08-08-14 0:00,314627,157903.3291
11-08-14 0:00,315168,178499.4155
14-08-14 0:00,315667,166730.2233
17-08-14 0:00,316160,161826.3932
20-08-14 0:00,316713,187281.3463
23-08-14 0:00,317197,186096.0214
26-08-14 0:00,317653,196763.9462
29-08-14 0:00,318165,196763.9462
01-09-14 0:00,318671,204522.6957
04-09-14 0:00,319145,227701.9345
07-09-14 0:00,319624,223611.4806
10-09-14 0:00,320071,212703.6035
13-09-14 0:00,320576,241336.7809
16-09-14 0:00,321063,250600.6489
19-09-14 0:00,321599,240220.7404
22-09-14 0:00,322107,232806.52
25-09-14 0:00,322585,241703.5845
28-09-14 0:00,322983,239501.0072
01-10-14 0:00,323428,249839.1801
04-10-14 0:00,323866,246393.1225
07-10-14 0:00,324330,260177.3531
10-10-14 0:00,324777,276657.2683
13-10-14 0:00,325224,266217.3713
16-10-14 0:00,325655,260997.4229
19-10-14 0:00,326094,233157.6978
22-10-14 0:00,326543,297537.0621
25-10-14 0:00,327008,271906.0938
28-10-14 0:00,327430,268328.3821
31-10-14 0:00,327943,336304.9055
03-11-14 0:00,328426,277272.6615
06-11-14 0:00,328880,285462.7945
09-11-14 0:00,329333,273650.541
12-11-14 0:00,329756,265775.7052
15-11-14 0:00,330195,295306.3392
18-11-14 0:00,330643,295306.3392
21-11-14 0:00,331049,248412.3463
24-11-14 0:00,331492,310515.4329
27-11-14 0:00,331902,262435.624
30-11-14 0:00,332367,312518.7583
03-12-14 0:00,332763,242402.3702
06-12-14 0:00,333202,288373.4095
09-12-14 0:00,333633,276440.7167
12-12-14 0:00,334065,282407.0631
15-12-14 0:00,334493,304283.6666
18-12-14 0:00,334893,272641.7557
